Location,Latitude,Longitude,Time,Temp_F
ELY MN,47.903237,-91.867087,2023-08-03 20:42:15,73.58
Death Valley CA,36.5323,-116.93,2023-08-03 20:42:15,106.29
Maryville MO,40.346102,-94.872471,2023-08-03 20:42:15,75.88
"Madrid, Spain",40.416775,-3.70379,2023-08-03 20:42:15,65.23
ELY MN,47.903237,-91.867087,2023-08-03 20:43:15,73.58
Death Valley CA,36.5323,-116.93,2023-08-03 20:43:16,106.29
Maryville MO,40.346102,-94.872471,2023-08-03 20:43:16,75.88
"Madrid, Spain",40.416775,-3.70379,2023-08-03 20:43:16,65.23
ELY MN,47.903237,-91.867087,2023-08-03 20:44:16,73.58
Death Valley CA,36.5323,-116.93,2023-08-03 20:44:16,106.29
Maryville MO,40.346102,-94.872471,2023-08-03 20:44:17,75.88
"Madrid, Spain",40.416775,-3.70379,2023-08-03 20:44:17,65.23
